┌──────────────────────────────────────────────┬───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│                                            id│                                                                                                                                                                                              url	                title│
├──────────────────────────────────────────────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┤
│                               beechie2012.pdf│                                                                                                          https://github.com/salmonhabitat/journals/blob/master/journals/beechie2012.pdf?raw=true	Restoring Salmon Habitat for a Changing Climate│
│                                  bond2006.pdf│                                                                                                             https://github.com/salmonhabitat/journals/blob/master/journals/bond2006.pdf?raw=true	Colonisation of introduced timber by algae and invertebrates, and its potential role in aquatic ecosystem restoration│
│                        braccia-batzer1999.pdf│                                                                                                   https://github.com/salmonhabitat/journals/blob/master/journals/braccia-batzer1999.pdf?raw=true	Invertebrates associated with Coarse Woody Debris in streams, upload forests, and wetlands: A review│
│                                 bunte2001.pdf│                                                                                                            https://github.com/salmonhabitat/journals/blob/master/journals/bunte2001.pdf?raw=true	Sampling Surface and Subsurface Particle-Size Distributions in Wadable Gravel- and Cobble-Bed Streams for Analyses in Sediment Transport, Hydraulics, and Streambed Monitoring│
│                                  chen2008.pdf│                                                                                                             https://github.com/salmonhabitat/journals/blob/master/journals/chen2008.pdf?raw=true	Effects of Large Woody Debris on surface structure and aquatic habitat in forested streams, southern interior british columbia, canada│
│              commiteeOnAtlanticSalmon2003.pdf│                                                                                         https://github.com/salmonhabitat/journals/blob/master/journals/commiteeonAtlanticSalmon2003.pdf?raw=true	Atlantic salmon in Maine│
│                                 cornu2007.pdf│                                                                                                            https://github.com/salmonhabitat/journals/blob/master/journals/cornu2007.pdf?raw=true	Effectiveness Monitoring for LWD Placement in South Slough Tidal Wetlands│
│                                cunjak2005.pdf│ https://github.com/salmonhabitat/journals/blob/master/journals/cunjak2005.pdf?raw=true Using stable isotope analysis with telemetry or mark-recapture data to identify fish movement and foraging│
│                                cunjak2012.pdf│                                                                                                           https://github.com/salmonhabitat/journals/blob/master/journals/cunjak2012.pdf?raw=true	The complex interaction of ecology and hydrology in a small catchment: a salmon’s perspective│
│                           curran-wohl2003.pdf│                                                                                                      https://github.com/salmonhabitat/journals/blob/master/journals/curran-wohl2003.pdf?raw=true	Large woody debris and flow resistance in step-pool channels, Cascade Range, Washington│
